,0
Item_price,0.12661886894145513
Customer Remarks___OTHER__,0.12133994460254646
Sub-category_Return request,0.039666710983546974
Customer Remarks_Good ,0.02187082227651767
Sub-category_Seller Cancelled Order,0.02027698777323621
category_Returns,0.020249700158940495
order_date_time_03/08/2023 12:06,0.01646322913560315
Sub-category_Installation/demo,0.016398104336338933
Supervisor___OTHER__,0.015451650683420394
category_Product Queries,0.01379724734331162
Sub-category_Fraudulent User,0.012822554782977327
Sub-category_Reverse Pickup Enquiry,0.011940009772937828
Tenure Bucket_On Job Training,0.010842308757274655
Customer_City___OTHER__,0.010016675407063825
channel_name_Inbound,0.0097699345865874
Manager_John Smith,0.009613586948190886
Survey_response_Date_08-Aug-23,0.009250733325371829
Survey_response_Date_11-Aug-23,0.0090051027170039
Survey_response_Date_14-Aug-23,0.008972032630017885
Supervisor_Emma Park,0.0088175409264521
Manager_Jennifer Nguyen,0.008170657950304992
Tenure Bucket_>90,0.008063478386669648
Survey_response_Date_19-Aug-23,0.007921315220140624
Supervisor_Zoe Yamamoto,0.007864283399601454
order_date_time___OTHER__,0.0076512747406332
Agent Shift_Morning,0.007516525112966345
Survey_response_Date_18-Aug-23,0.007145462944986183
Supervisor_Jackson Park,0.006872682289577551
Survey_response_Date_29-Aug-23,0.006739387967373778
Survey_response_Date_09-Aug-23,0.006670902925537553
